"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"4";"Rider2";"29/2013";0;0;0;1;7304;75,78;1;9166;103,95;1;4843;103,06;0;0;0;2;38041;122,05;0;0;0;0,357142857142857;7,90754063415934;1,33044135528608;9,59512484658827;"good"
"6";"Rider4";"29/2013";2;12038;124,58;2;15819;133,4;2;20762;119,15;1;9331;108,01;0;0;0;2;3892;118,97;0;0;0;0,642857142857143;8,23900879296563;1,98531006605541;10,8671760018782;"good"
"7";"Rider7";"22/2014";1;4270;108,3;1;8503;116,95;0;0;0;0;0;0;1;2386;106,1;3;11258;144,14;1;3338;99,28;0,5;3,96416200373035;1,88888888888889;6,35305089261924;"good"
"10";"Rider1";"22/2014";0;0;0;3;3683;148,45;2;4840;123,75;2;11757;136,92;2;4260;122,39;3;1701;172,54;3;8958;145,1;1,07142857142857;4,689448441247;2,79059449866903;8,55147151134461;"good"
"11";"Rider4";"22/2014";2;14996;128,42;2;8596;133,22;0;0;0;1;18345;110,57;1;8970;84,63;0;0;0;0;0;0;0,428571428571429;6,78217426059153;1,50133096716948;8,71207665633243;"good"
"15";"Rider2";"21/2013";0;0;0;2;8032;123,71;1;7330;116,14;0;0;0;0;0;0;2;3668;124,27;2;9627;123,31;0,5;3,81787903010925;1,60186006769858;5,91973909780782;"good"
"17";"Rider7";"30/2012";0;0;0;2;9885;118,13;1;8418;109,19;2;6756;120,85;0;0;0;3;12784;156,69;0;0;0;0,571428571428571;5,04169997335465;1,65914095106642;7,27226949584964;"good"
"20";"Rider4";"30/2012";1;5807;90,21;2;15496;124,24;2;8357;126;2;18580;127,95;1;4190;88,19;0;0;0;0;0;0;0,571428571428571;6,98507860378364;1,8291432515035;9,38565042671571;"good"
"21";"Rider7";"7/2014";0;0;0;0;0;0;0;0;0;2;9492;129,14;2;8979;127,38;2;12881;127,74;1;9081;113,93;0,5;5,38675726085798;1,63722107200368;7,52397833286166;"good"
"25";"Rider4";"7/2014";2;9730;131,73;0;0;0;2;12369;133,06;1;10432;110,1;2;6662;123,59;1;9581;109,43;0;0;0;0,571428571428571;6,49800159872102;1,99779815307766;9,06722832322725;"good"
"26";"Rider7";"19/2014";0;0;0;1;9027;114,66;2;8961;122,61;1;9260;116,8;1;8983;110,67;1;11326;115,7;1;3722;114,09;0,5;6,83173461231015;2,28246081041112;9,61419542272127;"good"
"29";"Rider2";"19/2014";1;10038;117,32;0;0;0;1;5378;106,34;0;0;0;0;0;0;2;17551;125,08;1;6503;89,35;0,357142857142857;5,25845989874767;1,43971211673075;7,05531487262128;"good"
"30";"Rider1";"19/2014";2;8479;133,61;2;4689;138,6;0;0;0;2;2020;131,21;0;0;0;2;3247;130,19;1;458;102,58;0,642857142857143;2,51705302424727;2,09073581123271;5,25064597833712;"good"
"31";"Rider4";"19/2014";0;0;0;2;19906;139,44;2;8850;131,3;2;17898;121,09;1;9365;90,68;1;11470;91,12;2;20071;129,57;0,714285714285714;11,6653343991473;2,31095336685399;14,6905734802871;"good"
"33";"Rider6";"31/2014";3;5265;142,25;0;0;0;0;0;0;0;0;0;2;3655;134,24;2;23721;130,15;1;13252;116,25;0,571428571428571;6,11417532640554;1,7183936376483;8,40399753548241;"good"
"35";"Rider2";"31/2014";2;92072;118,01;0;0;0;0;0;0;0;0;0;2;3572;123,92;3;13168;148,34;2;12156;125,09;0,642857142857143;16,1161737276845;1,6936475073121;18,4526783778538;"good"
"36";"Rider1";"31/2014";0;0;0;2;16219;141,11;2;7325;120,65;2;12282;134,48;0;0;0;2;12579;135,24;1;9781;98,5;0,642857142857143;7,75193178790301;2,0703276479674;10,4651165787276;"good"
"37";"Rider4";"31/2014";1;9487;90,23;1;8772;111,86;2;11037;121,61;2;20276;123,26;1;8969;96,88;1;9725;104,84;1;5401;99,34;0,642857142857143;9,81441513455902;2,45824706694272;12,9155193443589;"good"
"38";"Rider7";"35/2014";1;6341;106;1;8770;113,36;1;9401;109,34;2;9295;118,25;1;8315;106,02;1;8501;112,67;1;12173;116,78;0,571428571428571;8,36610711430855;2,57129711788097;11,5088328036181;"good"
"41";"Rider5";"35/2014";0;0;0;2;4510;132,94;2;6320;132,35;2;6049;131,15;0;0;0;0;0;0;3;4325;175,78;0,642857142857143;2,82494004796163;1,88050872522922;5,34830591604799;"good"
"42";"Rider2";"35/2014";1;7597;109,1;0;0;0;1;8789;115,03;1;8516;109,22;0;0;0;2;14314;121,15;0;0;0;0,357142857142857;5,22462030375699;1,49364093463472;7,07540409553457;"good"
"43";"Rider1";"35/2014";1;8008;102,23;2;11965;126,65;2;4919;125,96;3;1441;179,43;2;2922;131,52;1;4750;106;3;13352;155,81;1;6,30921929123368;3,04840776890466;10,3576270601383;"good"
"44";"Rider4";"35/2014";1;7069;110,8;2;14871;126,55;3;9940;148,32;2;17931;118,44;1;1825;93,18;1;10356;86,12;2;23881;133,03;0,857142857142857;11,4405808686384;2,68309836011699;14,9808220858983;"good"
"45";"Rider7";"8/2014";0;0;0;0;0;0;0;0;0;2;11890;123,84;2;8304;118,98;0;0;0;2;10739;123,65;0,428571428571429;4,12110311750599;1,20434453974827;5,75401908582569;"good"
"47";"Rider5";"8/2014";0;0;0;1;4322;112,06;1;6052;106,53;0;0;0;1;6642;117,66;0;0;0;2;8448;127,2;0,357142857142857;3,39248601119105;1,52305366591081;5,27268253424471;"good"
"49";"Rider4";"8/2014";0;0;0;0;0;0;2;17238;121,45;2;12711;121,29;2;16080;126,2;0;0;0;2;12516;129,96;0,571428571428571;7,79976019184652;1,63955437247363;10,0107431357487;"good"
