"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"1";"Rider7";"29/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6550;127,3;0,142857142857143;0,872635225153211;0,418350915245325;1,43384328325568;"bad"
"2";"Rider3";"29/2013";2;10705;126,79;2;79576;132,67;2;12835;131,84;0;0;0;0;0;0;2;14446;129,73;2;9025;138,03;0,714285714285714;16,8647748467892;2,1658943770745;19,7449549381495;"good"
"3";"Rider5";"29/2013";0;0;0;0;0;0;2;17654;139,74;0;0;0;0;0;0;0;0;0;1;3818;111,8;0,214285714285714;2,86064481747935;0,82664563409905;3,90157616586411;"bad"
"4";"Rider2";"29/2013";0;0;0;1;7304;75,78;1;9166;103,95;1;4843;103,06;0;0;0;2;38041;122,05;0;0;0;0,357142857142857;7,90754063415934;1,33044135528608;9,59512484658827;"good"
"5";"Rider1";"29/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;16319;159,18;0,214285714285714;2,17412736477485;0,52311939268461;2,91153247174517;"bad"
"6";"Rider4";"29/2013";2;12038;124,58;2;15819;133,4;2;20762;119,15;1;9331;108,01;0;0;0;2;3892;118,97;0;0;0;0,642857142857143;8,23900879296563;1,98531006605541;10,8671760018782;"good"
"7";"Rider7";"22/2014";1;4270;108,3;1;8503;116,95;0;0;0;0;0;0;1;2386;106,1;3;11258;144,14;1;3338;99,28;0,5;3,96416200373035;1,88888888888889;6,35305089261924;"good"
"8";"Rider3";"22/2014";0;0;0;2;8903;123,61;2;5503;131,29;0;0;0;0;0;0;3;4876;145,35;2;6995;136,11;0,642857142857143;3,50079936051159;1,76266061980348;5,90631712317221;"good"
"9";"Rider5";"22/2014";0;0;0;0;0;0;0;0;0;2;1729;138,1;3;1149;173,31;0;0;0;0;0;0;0,357142857142857;0,383426592059686;1,02339873147327;1,76396818067581;"bad"
"10";"Rider1";"22/2014";0;0;0;3;3683;148,45;2;4840;123,75;2;11757;136,92;2;4260;122,39;3;1701;172,54;3;8958;145,1;1,07142857142857;4,689448441247;2,79059449866903;8,55147151134461;"good"
