"avgHeartRate";"intensity";"Rider_id";"duration";"dateOfTraining";"id";"cluster"
127.3;2.0;"Rider7";6550.0;7/21/13 8:02 AM;1.0;"cluster_0"
108.3;1.0;"Rider7";4270.0;5/26/14 6:28 AM;2.0;"cluster_2"
117.32;1.0;"Rider7";8020.0;5/22/13 2:20 PM;3.0;"cluster_2"
120.85;2.0;"Rider7";6756.0;7/26/12 2:35 PM;4.0;"cluster_0"
118.79;2.0;"Rider7";5950.0;5/26/13 8:20 AM;5.0;"cluster_0"
127.38;2.0;"Rider7";8979.0;2/14/14 11:23 AM;6.0;"cluster_0"
115.7;1.0;"Rider7";11326.0;5/10/14 8:22 AM;7.0;"cluster_2"
111.79;1.0;"Rider7";10649.0;7/29/14 7:59 AM;8.0;"cluster_2"
116.78;1.0;"Rider7";12173.0;8/31/14 9:02 AM;9.0;"cluster_2"
123.65;2.0;"Rider7";10739.0;2/23/14 10:06 AM;10.0;"cluster_0"
108.32;1.0;"Rider7";4706.0;6/25/14 2:34 PM;11.0;"cluster_2"
114.98;1.0;"Rider7";5967.0;3/12/14 10:01 AM;12.0;"cluster_2"
114.11;1.0;"Rider7";7171.0;9/19/13 2:13 PM;13.0;"cluster_2"
120.73;2.0;"Rider7";7707.0;8/17/14 5:05 AM;14.0;"cluster_0"
120.56;2.0;"Rider7";19939.0;4/26/14 9:13 AM;15.0;"cluster_0"
113.7;1.0;"Rider7";6142.0;8/21/14 9:37 AM;16.0;"cluster_2"
122.26;2.0;"Rider7";13407.0;4/13/13 8:12 AM;17.0;"cluster_0"
133.62;2.0;"Rider7";8910.0;6/12/14 7:45 AM;18.0;"cluster_0"
109.45;1.0;"Rider7";11791.0;5/3/13 10:43 AM;19.0;"cluster_2"
147.1;3.0;"Rider7";4545.0;4/6/14 9:00 AM;20.0;"cluster_1"
111.64;1.0;"Rider7";6329.0;5/13/14 2:44 PM;21.0;"cluster_2"
118.13;2.0;"Rider7";12717.0;5/18/14 8:00 AM;22.0;"cluster_0"
116.71;1.0;"Rider7";9100.0;4/23/14 9:47 AM;23.0;"cluster_2"
111.19;1.0;"Rider7";4663.0;10/1/14 8:45 AM;24.0;"cluster_2"
83.08;1.0;"Rider7";244.0;3/22/13 2:56 PM;25.0;"cluster_2"
112.69;1.0;"Rider7";10597.0;7/20/12 3:38 PM;26.0;"cluster_2"
109.0;1.0;"Rider7";6917.0;4/26/13 9:17 AM;27.0;"cluster_2"
104.54;1.0;"Rider7";9867.0;4/13/14 8:11 AM;28.0;"cluster_2"
125.82;2.0;"Rider7";7056.0;8/11/14 5:00 AM;29.0;"cluster_0"
102.16;1.0;"Rider7";11494.0;3/21/14 9:20 AM;30.0;"cluster_2"
114.43;1.0;"Rider7";11078.0;7/12/14 8:12 AM;31.0;"cluster_2"
112.67;1.0;"Rider7";8501.0;8/30/14 8:34 AM;32.0;"cluster_2"
153.0;3.0;"Rider7";8636.0;8/3/14 7:53 AM;33.0;"cluster_1"
111.73;1.0;"Rider7";11065.0;7/8/14 9:17 AM;34.0;"cluster_2"
107.64;1.0;"Rider7";6251.0;9/22/14 8:06 AM;35.0;"cluster_2"
112.29;1.0;"Rider7";9577.0;7/3/14 1:39 PM;36.0;"cluster_2"
111.76;1.0;"Rider7";5757.0;6/4/13 2:43 PM;37.0;"cluster_2"
115.34;1.0;"Rider7";4401.0;9/20/13 2:36 PM;38.0;"cluster_2"
132.45;2.0;"Rider7";10439.0;6/25/13 9:16 AM;39.0;"cluster_0"
115.18;1.0;"Rider7";339058.0;10/10/14 1:05 PM;40.0;"cluster_2"
123.5;2.0;"Rider7";10281.0;4/18/14 9:09 AM;41.0;"cluster_0"
124.25;2.0;"Rider7";14239.0;2/26/14 9:23 AM;42.0;"cluster_0"
136.96;2.0;"Rider7";10582.0;3/6/14 9:35 AM;43.0;"cluster_0"
117.29;1.0;"Rider7";3580.0;6/11/14 8:35 AM;44.0;"cluster_2"
117.03;1.0;"Rider7";8689.0;9/9/14 7:50 AM;45.0;"cluster_2"
108.78;1.0;"Rider7";3100.0;5/8/13 2:50 PM;46.0;"cluster_2"
106.42;1.0;"Rider7";10545.0;7/22/14 10:34 AM;47.0;"cluster_2"
122.82;2.0;"Rider7";11153.0;3/5/13 10:26 AM;48.0;"cluster_0"
101.41;1.0;"Rider7";9512.0;6/16/14 7:47 AM;49.0;"cluster_2"
117.53;1.0;"Rider7";6579.0;4/19/14 8:11 AM;50.0;"cluster_2"
110.82;1.0;"Rider7";15371.0;2/27/13 10:38 AM;51.0;"cluster_2"
133.7;2.0;"Rider7";19266.0;2/17/13 10:00 AM;52.0;"cluster_0"
115.51;1.0;"Rider7";6999.0;8/18/14 5:06 AM;53.0;"cluster_2"
113.32;1.0;"Rider7";9137.0;6/8/14 7:57 AM;54.0;"cluster_2"
105.59;1.0;"Rider7";7508.0;10/4/14 12:59 PM;55.0;"cluster_2"
107.7;1.0;"Rider7";2646.0;7/9/14 12:50 PM;56.0;"cluster_2"
117.68;1.0;"Rider7";9784.0;5/21/13 2:50 PM;57.0;"cluster_2"
147.97;3.0;"Rider7";4597.0;4/1/13 9:22 AM;58.0;"cluster_1"
111.09;1.0;"Rider7";101258.0;10/3/14 8:51 AM;59.0;"cluster_2"
124.19;2.0;"Rider7";9009.0;4/18/13 1:58 PM;60.0;"cluster_0"
137.45;2.0;"Rider7";10174.0;8/14/13 6:03 AM;61.0;"cluster_0"
110.74;1.0;"Rider7";7358.0;10/9/14 9:04 AM;62.0;"cluster_2"
110.52;1.0;"Rider7";10321.0;3/22/14 8:45 AM;63.0;"cluster_2"
114.59;1.0;"Rider7";7238.0;10/7/14 8:52 AM;64.0;"cluster_2"
116.13;1.0;"Rider7";9783.0;10/5/13 8:53 AM;65.0;"cluster_2"
125.02;2.0;"Rider7";6867.0;7/14/13 8:00 AM;66.0;"cluster_0"
133.83;2.0;"Rider7";5437.0;3/11/13 1:51 PM;67.0;"cluster_0"
112.23;1.0;"Rider7";5761.0;6/4/14 2:48 PM;68.0;"cluster_2"
119.11;2.0;"Rider7";7206.0;7/13/13 8:19 AM;69.0;"cluster_0"
