"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr"
"Rider7";"29/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6550.0;127.3
"Rider3";"29/2013";2.0;10705.0;126.79;2.0;79576.0;132.67;2.0;12835.0;131.84;0;0;0;0;0;0;2.0;14446.0;129.73;2.0;9025.0;138.03
"Rider5";"29/2013";0;0;0;0;0;0;2.0;17654.0;139.74;0;0;0;0;0;0;0;0;0;1.0;3818.0;111.8
"Rider2";"29/2013";0;0;0;1.0;7304.0;75.78;1.0;9166.0;103.95;1.0;4843.0;103.06;0;0;0;2.0;38041.0;122.05;0;0;0
"Rider1";"29/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;16319.0;159.18
"Rider4";"29/2013";2.0;12038.0;124.58;2.0;15819.0;133.4;2.0;20762.0;119.15;1.0;9331.0;108.01;0;0;0;2.0;3892.0;118.97;0;0;0
"Rider7";"22/2014";1.0;4270.0;108.3;1.0;8503.0;116.95;0;0;0;0;0;0;1.0;2386.0;106.1;3.0;11258.0;144.14;1.0;3338.0;99.28
"Rider3";"22/2014";0;0;0;2.0;8903.0;123.61;2.0;5503.0;131.29;0;0;0;0;0;0;3.0;4876.0;145.35;2.0;6995.0;136.11
"Rider5";"22/2014";0;0;0;0;0;0;0;0;0;2.0;1729.0;138.1;3.0;1149.0;173.31;0;0;0;0;0;0
"Rider1";"22/2014";0;0;0;3.0;3683.0;148.45;2.0;4840.0;123.75;2.0;11757.0;136.92;2.0;4260.0;122.39;3.0;1701.0;172.54;3.0;8958.0;145.1
"Rider4";"22/2014";2.0;14996.0;128.42;2.0;8596.0;133.22;0;0;0;1.0;18345.0;110.57;1.0;8970.0;84.63;0;0;0;0;0;0
"Rider7";"21/2013";0;0;0;1.0;9784.0;117.68;1.0;8020.0;117.32;0;0;0;0;0;0;0;0;0;2.0;5950.0;118.79
"Rider3";"21/2013";2.0;6821.0;126.33;2.0;9823.0;123.87;0;0;0;2.0;5780.0;127.0;2.0;3886.0;127.78;2.0;6920.0;122.92;2.0;10133.0;127.58
"Rider5";"21/2013";0;0;0;0;0;0;0;0;0;2.0;5150.0;119.24;0;0;0;0;0;0;0;0;0
"Rider2";"21/2013";0;0;0;2.0;8032.0;123.71;1.0;7330.0;116.14;0;0;0;0;0;0;2.0;3668.0;124.27;2.0;9627.0;123.31
"Rider1";"21/2013";0;0;0;0;0;0;2.0;6196.0;129.35;0;0;0;0;0;0;0;0;0;2.0;13694.0;137.37
"Rider7";"30/2012";0;0;0;2.0;9885.0;118.13;1.0;8418.0;109.19;2.0;6756.0;120.85;0;0;0;3.0;12784.0;156.69;0;0;0
"Rider3";"30/2012";0;0;0;2.0;6279.0;132.76;1.0;9479.0;114.28;2.0;10322.0;128.01;0;0;0;0;0;0;3.0;12421.0;158.29
"Rider5";"30/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;7199.0;162.52
"Rider4";"30/2012";1.0;5807.0;90.21;2.0;15496.0;124.24;2.0;8357.0;126.0;2.0;18580.0;127.95;1.0;4190.0;88.19;0;0;0;0;0;0
"Rider7";"7/2014";0;0;0;0;0;0;0;0;0;2.0;9492.0;129.14;2.0;8979.0;127.38;2.0;12881.0;127.74;1.0;9081.0;113.93
"Rider3";"7/2014";0;0;0;0;0;0;2.0;6582.0;123.01;2.0;8460.0;130.78;0;0;0;2.0;7385.0;130.19;2.0;10988.0;129.74
"Rider5";"7/2014";0;0;0;0;0;0;0;0;0;2.0;4696.0;125.53;0;0;0;2.0;11969.0;127.56;0;0;0
"Rider2";"7/2014";0;0;0;0;0;0;2.0;6736.0;128.2;0;0;0;0;0;0;2.0;4587.0;136.73;2.0;9699.0;131.36
"Rider4";"7/2014";2.0;9730.0;131.73;0;0;0;2.0;12369.0;133.06;1.0;10432.0;110.1;2.0;6662.0;123.59;1.0;9581.0;109.43;0;0;0
"Rider7";"19/2014";0;0;0;1.0;9027.0;114.66;2.0;8961.0;122.61;1.0;9260.0;116.8;1.0;8983.0;110.67;1.0;11326.0;115.7;1.0;3722.0;114.09
"Rider3";"19/2014";2.0;89001.0;132.47;2.0;5016.0;132.2;0;0;0;0;0;0;0;0;0;2.0;12099.0;135.75;2.0;9531.0;130.01
"Rider5";"19/2014";0;0;0;2.0;4489.0;134.61;0;0;0;0;0;0;3.0;4465.0;157.48;0;0;0;0;0;0
