;Rider;WeekOfYear;mon_intensity;mon_duration;mon_hr;tue_intensity;tue_duration;tue_hr;wed_intensity;wed_duration;wed_hr;thu_intensity;thu_duration;thu_hr;fri_intensity;fri_duration;fri_hr;sat_intensity;sat_duration;sat_hr;sun_intensity;sun_duration;sun_hr;weekIntensity;weekDuration;weekHearthrate;weekOveral;bestAtlethes
"619";"Rider3";"12/2012";0;0;0;2;10740;126.18;3;8852;143.63;1;4704;101.15;0;0;0;0;0;0;2;13355;135.38;0.571428571428571;5.01612043698375;1.66400473232771;7.25155374074003;"good"
"435";"Rider2";"52/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5856;117.65;0;0;0;0.0714285714285714;0.78017585931255;0.386637746886194;1.23824217762732;"bad"
"685";"Rider1";"8/2011";0;0;0;0;0;0;2;20418;136.63;0;0;0;0;0;0;0;0;0;0;0;0;0.142857142857143;2.72022382094325;0.449012455223635;3.31209341902402;"bad"
"127";"Rider5";"12/2013";0;0;0;0;0;0;2;7323;130.98;2;7555;137.89;0;0;0;0;0;0;0;0;0;0.285714285714286;1.98214761524114;0.883597883597884;3.15145978455331;"bad"
"416";"Rider7";"31/2012";0;0;0;1;10873;101.71;1;8524;109.64;1;9136;108.55;0;0;0;2;6973;121.28;2;8357;119.49;0.5;5.84372501998401;1.84255151335897;8.18627653334298;"good"
"208";"Rider4";"37/2014";1;12269;102.67;2;13827;129.48;1;11553;108.99;2;11738;122.54;1;5906;93.92;1;15281;115.09;0;0;0;0.571428571428571;9.402344790834;2.21068717342009;12.1844605356827;"good"
"15";"Rider2";"21/2013";0;0;0;2;8032;123.71;1;7330;116.14;0;0;0;0;0;0;2;3668;124.27;2;9627;123.31;0.5;3.81787903010925;1.60186006769858;5.91973909780782;"good"
"186";"Rider3";"16/2014";0;0;0;0;0;0;2;5377;121.64;2;4379;133.51;0;0;0;0;0;0;0;0;0;0.285714285714286;1.29976019184652;0.838509316770186;2.42398379433099;"bad"
"614";"Rider4";"48/2013";3;5896;151.11;3;7760;148.88;2;7760;129.03;3;8014;152.73;0;0;0;0;0;0;1;8309;116.06;0.857142857142857;5.02784439115374;2.29324000131454;8.17822724961114;"good"
"638";"Rider3";"49/2013";2;3893;125.64;0;0;0;1;3558;114.91;2;9377;130.64;0;0;0;0;0;0;0;0;0;0.357142857142857;2.24193978150813;1.21985605836538;3.81893869701636;"bad"
"539";"Rider3";"15/2012";0;0;0;2;10265;121.37;2;9944;131.2;0;0;0;0;0;0;2;5707;130.92;1;26487;114.95;0.5;6.98148148148148;1.6380426566762;9.11952413815768;"good"
"379";"Rider3";"29/2014";0;0;0;2;4446;119.46;2;5018;131.73;2;6482;124.95;0;0;0;3;5254;143.02;2;11051;132.56;0.785714285714286;4.29669597655209;2.14177265108942;7.2241829133558;"good"
"349";"Rider7";"3/2014";0;0;0;0;0;0;0;0;0;2;9729;123.93;0;0;0;0;0;0;0;0;0;0.142857142857143;1.29616306954436;0.407275953859805;1.84629616626131;"bad"
"381";"Rider2";"29/2014";0;0;0;0;0;0;1;6146;115.5;1;6141;115.41;0;0;0;2;1703;122.12;2;19943;135.47;0.428571428571429;4.52078337330136;1.60537645009695;6.55473125196973;"good"
"640";"Rider2";"49/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3625059;135.33;0;0;0;0.142857142857143;482.954836131095;0.44474021492655;483.542433488879;"good"
"73";"Rider1";"33/2014";1;11856;105.09;0;0;0;2;12618;131.44;2;15340;128.87;1;7940;101.44;3;9960;156.63;1;3249;116.41;0.714285714285714;8.12190247801759;2.43149627000559;11.2676844623089;"good"
"444";"Rider4";"52/2013";2;11421;127.13;2;14917;139.05;2;14424;132.72;0;0;0;0;0;0;0;0;0;2;16192;119.45;0.571428571428571;7.58779642952305;1.7034736599954;9.86269866094702;"good"
"250";"Rider7";"16/2013";0;0;0;2;9385;123.09;1;8072;105.51;2;9009;124.19;0;0;0;1;9595;115.25;2;13206;122.14;0.571428571428571;6.5636823874234;1.9395313681028;9.07464232695476;"good"
"305";"Rider2";"43/2013";1;6422;117.9;0;0;0;0;0;0;0;0;0;0;0;0;1;8201;116.99;0;0;0;0.142857142857143;1.94817479349853;0.771928094909461;2.86296003126514;"bad"
"487";"Rider4";"11/2012";0;0;0;0;0;0;1;12658;117.24;3;14932;142.63;0;0;0;2;14858;121.83;3;16117;141.31;0.642857142857143;7.80242472688516;1.7187879982911;10.1640698680334;"good"
